parameter,S1,ST
alpha,0.6169873537569048,0.889134213994462
c,0.0020183008677085923,0.29634409068761386
k,0.09145732768364474,0.2569602143357236
omega,0.006516098143604479,0.17253864199985083
F0,0.05235477047803208,0.06518937750052337
m,0.0002502455566876187,0.0022532095452102077
