time,q05,q25,q50,q75,q95,width50,width90
6.3,0.06379855006323373,0.08045023272630097,0.09770689429548897,0.12178565380598835,0.1645804855038387,0.04133542107968738,0.10078193544060496
6.35,0.06385298354170525,0.08071677380975958,0.0977782933889689,0.12191510023380053,0.16526582201005047,0.04119832642404095,0.10141283846834521
6.4,0.06389306985249285,0.08092183835688493,0.0979120891522945,0.12215461058947057,0.16571266557413694,0.04123277223258563,0.10181959572164409
6.45,0.06393938411440656,0.08100099653395623,0.09796534109908991,0.12246310605206656,0.16653971733712336,0.04146210951811033,0.1026003332227168
6.5,0.06399590939157236,0.08117383203965386,0.09803132770549526,0.12265968959959009,0.16770062361913807,0.04148585755993622,0.1037047142275657
6.55,0.06408084516183436,0.08139087032759613,0.09838272585562088,0.12304060686055932,0.1689554620100177,0.04164973653296318,0.10487461684818335
6.6,0.06417955953535939,0.08117867743548685,0.09881551681552392,0.12352133658077603,0.17013741446425262,0.04234265914528919,0.10595785492889323
6.65,0.06426401601543386,0.08122865154350409,0.09916358681576881,0.12401908763933071,0.17149783162953777,0.042790436095826626,0.10723381561410392
6.7,0.06421278552521531,0.08118993504145625,0.09926455865013116,0.124128166701779,0.17268065244258318,0.04293823166032275,0.10846786691736787
6.75,0.06416431200023671,0.08121713176659492,0.09951592270197426,0.12422222342401398,0.17354450428913737,0.04300509165741906,0.10938019228890065
6.8,0.06412076652642552,0.08132167368348514,0.09966646452176214,0.12430307929647394,0.17448585853702636,0.0429814056129888,0.11036509201060084
6.85,0.06408618043122953,0.08134017880421693,0.09987232021743195,0.1244798478710881,0.17542939327434542,0.04313966906687117,0.1113432128431159
6.9,0.06410579502105646,0.08147343332727455,0.10016985370908815,0.12480378765818773,0.17633005986679615,0.04333035433091317,0.11222426484573969
6.95,0.0641725580641056,0.08144966494502513,0.10030355156810082,0.12544885767409256,0.17831548571272982,0.043999192729067424,0.11414292764862422
7.0,0.06424019234610319,0.08171868711927219,0.10054582196636913,0.12594357250628907,0.17953705499160355,0.04422488538701688,0.11529686264550036
7.05,0.06434301068395591,0.08192015742156586,0.10071574429949248,0.1263373255814004,0.1804451631204702,0.04441716815983454,0.1161021524365143
7.1,0.06445715549739121,0.08203169682400566,0.10074205654593393,0.12668961716228638,0.18078810877432538,0.04465792033828073,0.11633095327693417
7.15,0.06453201479399705,0.08215727802094722,0.10082792630249726,0.12708916305429552,0.18187366988521558,0.0449318850333483,0.11734165509121854
7.2,0.06459473001449628,0.08208703765594455,0.10093035456904112,0.12718158566748083,0.1829744270626567,0.045094548011536284,0.11837969704816043
7.25,0.0646544641031262,0.08208366863939767,0.10113902401462001,0.1273941910833979,0.18409009356043177,0.04531052244400022,0.11943562945730557
7.3,0.06469442588175328,0.08215827751539206,0.10129746378905706,0.12758679119136238,0.1851723602666378,0.04542851367597031,0.12047793438488452
7.35,0.06469270603576008,0.08216381839497815,0.10169719497308644,0.12810949575113792,0.18623420317529324,0.04594567735615977,0.12154149713953316
7.4,0.06469830709884294,0.08215679066636493,0.10191817155820347,0.12889278294094422,0.1867597364540617,0.046735992274579294,0.12206142935521874
7.45,0.06471036960317544,0.0821753578975428,0.10220187133265575,0.12931796282330899,0.18802363869578587,0.04714260492576619,0.12331326909261042
7.5,0.06473987407870138,0.08226256715397047,0.10240973790956096,0.12989926018555448,0.18913297534303064,0.04763669303158401,0.12439310126432926
7.55,0.06483060183161321,0.08229576110068752,0.1026362933058615,0.1304541295098242,0.1900844654968969,0.04815836840913669,0.12525386366528368
7.6,0.06488660644691407,0.08216930195030082,0.10285158634560965,0.13037236361321625,0.1910507615053227,0.04820306166291542,0.12616415505840864
7.65,0.06488407046497663,0.08222061944112213,0.10302515317835866,0.13032412915352498,0.1916315042447574,0.04810350971240285,0.12674743377978076
7.7,0.06487755370920452,0.0822208728832281,0.1031634751654949,0.13070678293373586,0.19207999419604913,0.04848591005050776,0.1272024404868446
7.75,0.06486753584135144,0.08221700209206631,0.10319025419956326,0.1311709567979673,0.19255640253755868,0.048953954705901,0.12768886669620724
7.8,0.0648545114136221,0.08219284289755888,0.10337441076313014,0.1312796659627225,0.19306493825245377,0.049086823065163626,0.12821042683883166
7.85,0.06483897003138983,0.08219084006667256,0.10344888866154009,0.13165239436434403,0.19395255819559107,0.049461554297671476,0.12911358816420124
7.9,0.06483253450291239,0.08220844879933176,0.10353665286207547,0.13149355018636372,0.19416042200598843,0.04928510138703196,0.12932788750307606
7.95,0.06484938117226055,0.08205181006233694,0.1036193329000048,0.13205459309703,0.19511359162941633,0.05000278303469305,0.13026421045715578
8.0,0.0648645860084304,0.08202290152071536,0.10373372116563856,0.13249597135596108,0.19547552142497032,0.05047306983524573,0.13061093541653993
8.05,0.06487763477799227,0.08225766545687052,0.10385578239639937,0.13293406661087656,0.19573893159486294,0.05067640115400604,0.13086129681687067
8.1,0.06488811005554863,0.0821893480222626,0.10385118634122387,0.13308474088586253,0.19586948742725702,0.050895392863599925,0.1309813773717084
8.15,0.06489568981502496,0.0820429315213927,0.10388914108925884,0.13292372760101492,0.19597351761638537,0.05088079607962222,0.1310778278013604
8.2,0.06490014348671812,0.0819920805022851,0.10386550201046695,0.13379641645240176,0.1959339685155869,0.05180433595011666,0.1310338250288688
8.25,0.06490132603070786,0.08202764398510222,0.1038867325326154,0.13466601581314422,0.1966923978704859,0.052638371828042,0.13179107183977803
8.3,0.06489917057106881,0.082117485247223,0.10395429732698837,0.13480976401121106,0.1978137779426295,0.05269227876398806,0.1329146073715607
8.35,0.06489368010915542,0.0819934305454344,0.10397705482807634,0.1345738340697411,0.19929322360625573,0.05258040352430671,0.13439954349710032
8.4,0.06488491879141763,0.08203202517978159,0.1039104575920055,0.13498323003197374,0.2014275877287619,0.05295120485219215,0.1365426689373443
8.45,0.06487300315102743,0.08214148993388061,0.10386596356628852,0.13546804396834367,0.20296759606171155,0.053326554034463056,0.13809459291068413
8.5,0.06485809367638622,0.08219595633850768,0.10381289390696023,0.13595050007621653,0.20385253134231734,0.053754543737708854,0.13899443766593111
8.55,0.06484038698666848,0.08211504009455442,0.10382908416684439,0.13566714924730086,0.2041146328932343,0.05355210915274644,0.13927424590656584
8.6,0.06482010881829281,0.08205896795322222,0.10384043680306917,0.13535100365821157,0.2044239784664927,0.053292035704989346,0.1396038696481999
8.65,0.06480758438161541,0.08203939206712604,0.10372397846862089,0.1358582565928744,0.2046398058307371,0.053818864525748356,0.1398322214491217
8.7,0.06479555723620914,0.08202674036880447,0.10362068224281595,0.13580947071768112,0.20476697263984114,0.05378273034887665,0.139971415403632
8.75,0.06478112192228799,0.08201859738053424,0.10355312458154001,0.1359796953084904,0.20511078141443684,0.05396109792795617,0.14032965949214884
8.8,0.06476433971499966,0.08201128534862777,0.1034839061408363,0.1362682904923321,0.20554253451202453,0.05425700514370434,0.14077819479702486
8.85,0.06474531858562435,0.08196638258388822,0.103414121469344,0.1367005782457861,0.20615722470323494,0.05473419566189788,0.1414119061176106
8.9,0.06472421238047996,0.08195464177284714,0.10339054885517313,0.13693298044762525,0.206733170574658,0.05497833867477811,0.14200895819417805
8.95,0.06470245170047881,0.08198356952397791,0.10331669000303217,0.13703623639720014,0.20739422521995715,0.05505266687322223,0.14269177351947834
9.0,0.06468085452700564,0.08197298967132047,0.10319398133531751,0.1371242858074775,0.2079019291693861,0.05515129613615702,0.14322107464238046
9.05,0.06465730892136681,0.08189186039819209,0.10323272184977,0.13704542611351986,0.20819603934720898,0.05515356571532777,0.14353873042584217
9.1,0.06464042201865633,0.0818008897541555,0.10326794093460819,0.13695104855616788,0.2085396820255372,0.05515015880201238,0.14389926000688086
9.15,0.0646320460924489,0.08171768540598597,0.10313075143951472,0.13716940853333612,0.2089314100786826,0.05545172312735015,0.14429936398623372
9.2,0.06461825494280829,0.08165176562256432,0.10317151936733018,0.1375721127073114,0.2094409118670618,0.05592034708474708,0.1448226569242535
9.25,0.06460072082725117,0.08160401253526957,0.10324508941954288,0.13759101266618107,0.21030920925452,0.0559870001309115,0.14570848842726886
9.3,0.06457883126225637,0.08157945528807664,0.103293858776107,0.1375493391227948,0.21195543341548861,0.055969883834718154,0.14737660215323223
9.35,0.0645518783500649,0.0815711999259861,0.10325105693718664,0.1375166452960202,0.21308004324682817,0.0559454453700341,0.14852816489676327
9.4,0.06452022590879301,0.08157040284282897,0.10330224079706168,0.137228626556265,0.21422459581504288,0.055658223713436025,0.14970436990624986
9.45,0.06448504075582703,0.08157649220170271,0.10338417869429907,0.1368410709825364,0.21486835604764956,0.055264578780833684,0.15038331529182253
